"circunscripcion","organismo","fecha","actos_procesales","presentaciones_abogados","causas_iniciadas"
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-13,1,2,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-14,2,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-20,3,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-21,3,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-22,10,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-23,NA,2,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-25,1,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-27,2,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-28,NA,2,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-29,5,5,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-30,2,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-01-31,1,1,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-01,24,21,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-02,19,4,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-03,2,5,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-04,27,24,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-05,47,8,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-08,35,21,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-09,56,16,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-10,39,14,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-11,43,21,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-12,46,23,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-13,3,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-15,NA,8,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-16,2,1,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-17,42,8,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-18,39,15,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-19,42,18,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-20,NA,3,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-22,35,17,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-23,28,16,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-24,39,15,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-25,52,20,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-02-26,26,16,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-01,45,7,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-02,62,15,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-03,47,12,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-04,46,7,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-05,37,11,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-06,1,2,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-08,20,19,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-09,43,20,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-10,46,15,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-11,37,9,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-12,23,24,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-13,1,NA,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-15,30,15,NA
"Paraná","Cámara Contencioso Administrativo-Paraná",2021-03-16,43,10,NA
